Q99895	Q99895	0.0
Q99895	Q7M3E1	4.04e-167
Q99895	Q3SYP2	3.42e-165
Q99895	P55091	6.05e-163
Q99895	P08217	1.16e-121
Q99895	P00774	8.57e-118
Q99895	Q29461	3.78e-117
Q99895	P08419	6.03e-115
Q99895	P08218	2.29e-111
Q99895	P05208	8.11e-109
Q99895	Q9CQ52	9.95e-105
Q99895	O19023	3.21e-103
Q99895	P08861	1.80e-101
Q99895	P05805	3.52e-98
Q99895	P09093	4.51e-95
Q99895	P00773	2.69e-93
Q99895	O46644	3.90e-93
Q99895	P00772	2.79e-90
Q99895	Q5R1M5	6.24e-89
Q99895	Q867B0	1.07e-88
Q7M3E1	Q7M3E1	0.0
Q7M3E1	Q99895	4.04e-167
Q7M3E1	Q3SYP2	2.64e-157
Q7M3E1	P55091	1.01e-156
Q7M3E1	P08217	1.49e-119
Q7M3E1	P00774	6.84e-117
Q7M3E1	Q29461	8.12e-117
Q7M3E1	P08419	4.42e-116
Q7M3E1	P08218	2.18e-112
Q7M3E1	P05208	2.94e-109
Q7M3E1	Q9CQ52	7.67e-109
Q7M3E1	O19023	1.95e-105
Q7M3E1	P05805	2.31e-102
Q7M3E1	P08861	2.17e-101
Q7M3E1	P09093	2.35e-99
Q7M3E1	P00773	3.43e-97
Q7M3E1	O46644	4.60e-96
Q7M3E1	P00772	1.34e-92
Q7M3E1	Q867B0	8.81e-92
Q7M3E1	Q5R1M5	9.41e-92
Q3SYP2	Q3SYP2	0.0
Q3SYP2	P55091	0.0
Q3SYP2	Q99895	3.42e-165
Q3SYP2	Q7M3E1	2.64e-157
Q3SYP2	P08217	4.97e-119
Q3SYP2	P00774	4.76e-112
Q3SYP2	Q29461	1.85e-110
Q3SYP2	P08419	9.20e-110
Q3SYP2	P08218	7.09e-105
Q3SYP2	Q9CQ52	1.86e-103
Q3SYP2	O19023	1.27e-102
Q3SYP2	P05208	2.79e-102
Q3SYP2	P08861	1.57e-98
Q3SYP2	P05805	5.33e-97
Q3SYP2	P09093	6.83e-96
Q3SYP2	P00773	2.69e-88
Q3SYP2	O46644	1.18e-86
Q3SYP2	Q867B0	5.88e-84
Q3SYP2	Q5R1M5	1.40e-83
Q3SYP2	P00772	4.78e-83
P55091	P55091	0.0
P55091	Q3SYP2	0.0
P55091	Q99895	6.05e-163
P55091	Q7M3E1	1.01e-156
P55091	P08217	7.21e-119
P55091	P00774	6.70e-114
P55091	Q29461	5.41e-112
P55091	P08419	5.86e-111
P55091	P08218	2.76e-107
P55091	P05208	4.96e-104
P55091	Q9CQ52	4.71e-100
P55091	O19023	8.25e-100
P55091	P08861	8.31e-97
P55091	P09093	1.47e-95
P55091	P05805	2.18e-95
P55091	P00773	4.74e-88
P55091	O46644	9.27e-87
P55091	Q867B0	4.23e-86
P55091	Q5R1M5	4.66e-84
P55091	P00772	2.57e-83
P08217	P08217	0.0
P08217	P08218	1.41e-178
P08217	P08419	1.41e-168
P08217	P00774	3.13e-168
P08217	Q29461	1.38e-164
P08217	P05208	3.33e-148
P08217	Q99895	1.17e-121
P08217	Q7M3E1	1.50e-119
P08217	Q3SYP2	4.99e-119
P08217	P55091	7.24e-119
P08217	Q9CQ52	7.69e-113
P08217	Q5R1M5	3.58e-112
P08217	P00773	6.13e-111
P08217	O46644	4.66e-108
P08217	Q867B0	9.92e-108
P08217	P00772	4.19e-107
P08217	P08861	4.96e-106
P08217	O19023	1.78e-105
P08217	P05805	3.64e-105
P08217	P09093	4.51e-105
P00774	P00774	0.0
P00774	P05208	1.37e-174
P00774	P08217	3.15e-168
P00774	P08419	8.99e-163
P00774	Q29461	3.03e-161
P00774	P08218	4.58e-157
P00774	Q99895	8.66e-118
P00774	Q7M3E1	6.92e-117
P00774	P55091	6.78e-114
P00774	Q9CQ52	1.34e-112
P00774	Q3SYP2	4.81e-112
P00774	Q5R1M5	1.89e-109
P00774	P00773	2.14e-108
P00774	Q867B0	3.01e-108
P00774	O46644	3.64e-106
P00774	P00772	4.28e-106
P00774	P08861	1.88e-104
P00774	O19023	4.60e-104
P00774	P05805	1.21e-103
P00774	P09093	2.76e-102
Q29461	Q29461	0.0
Q29461	P08419	2.73e-174
Q29461	P08217	1.38e-164
Q29461	P00774	3.01e-161
Q29461	P08218	5.75e-157
Q29461	P05208	3.43e-143
Q29461	Q99895	3.79e-117
Q29461	Q7M3E1	8.15e-117
Q29461	P55091	5.43e-112
Q29461	Q3SYP2	1.85e-110
Q29461	Q5R1M5	5.80e-108
Q29461	Q9CQ52	1.93e-107
Q29461	P00773	1.87e-105
Q29461	P00772	9.25e-104
Q29461	O46644	1.30e-103
Q29461	Q867B0	3.57e-102
Q29461	P05805	1.81e-101
Q29461	P08861	9.41e-101
Q29461	O19023	2.47e-99
Q29461	P09093	2.69e-98
P08419	P08419	0.0
P08419	Q29461	2.73e-174
P08419	P08217	1.41e-168
P08419	P00774	8.92e-163
P08419	P08218	9.44e-160
P08419	P05208	2.36e-146
P08419	Q7M3E1	4.44e-116
P08419	Q99895	6.06e-115
P08419	P55091	5.88e-111
P08419	Q3SYP2	9.24e-110
P08419	Q5R1M5	4.75e-109
P08419	Q9CQ52	2.04e-107
P08419	P00773	4.15e-106
P08419	Q867B0	5.67e-105
P08419	P00772	1.20e-103
P08419	O46644	1.78e-103
P08419	P08861	2.96e-101
P08419	P05805	3.49e-100
P08419	P09093	1.01e-99
P08419	O19023	1.05e-99
P08218	P08218	0.0
P08218	P08217	1.41e-178
P08218	P08419	9.44e-160
P08218	P00774	4.54e-157
P08218	Q29461	5.75e-157
P08218	P05208	1.53e-139
P08218	Q7M3E1	2.19e-112
P08218	Q99895	2.30e-111
P08218	P55091	2.77e-107
P08218	Q9CQ52	3.99e-106
P08218	Q5R1M5	2.28e-105
P08218	Q3SYP2	7.12e-105
P08218	P00773	1.46e-104
P08218	P09093	9.51e-102
P08218	O19023	4.07e-101
P08218	P08861	5.34e-101
P08218	Q867B0	6.17e-101
P08218	O46644	6.77e-101
P08218	P00772	8.15e-101
P08218	P05805	2.99e-100
P05208	P05208	0.0
P05208	P00774	1.37e-174
P05208	P08217	3.35e-148
P05208	P08419	2.37e-146
P05208	Q29461	3.46e-143
P05208	P08218	1.54e-139
P05208	Q7M3E1	2.97e-109
P05208	Q99895	8.21e-109
P05208	Q5R1M5	5.61e-107
P05208	P00773	4.44e-104
P05208	P55091	5.02e-104
P05208	Q867B0	2.20e-103
P05208	P00772	3.99e-103
P05208	Q3SYP2	2.82e-102
P05208	O46644	2.39e-101
P05208	Q9CQ52	1.60e-99
P05208	P08861	5.07e-93
P05208	O19023	1.54e-92
P05208	P09093	2.93e-92
P05208	P05805	5.44e-91
Q9CQ52	Q9CQ52	0.0
Q9CQ52	P08861	8.82e-167
Q9CQ52	P05805	4.32e-165
Q9CQ52	O19023	1.65e-164
Q9CQ52	P09093	8.22e-153
Q9CQ52	P08217	5.59e-116
Q9CQ52	P00774	1.41e-115
Q9CQ52	Q7M3E1	1.48e-111
Q9CQ52	Q29461	2.31e-110
Q9CQ52	P08419	2.75e-110
Q9CQ52	P08218	3.11e-109
Q9CQ52	Q99895	1.29e-107
Q9CQ52	Q3SYP2	4.54e-106
Q9CQ52	P55091	1.81e-102
Q9CQ52	P05208	2.04e-102
Q9CQ52	P00773	6.07e-101
Q9CQ52	O46644	4.52e-100
Q9CQ52	Q5R1M5	3.12e-98
Q9CQ52	P00772	6.63e-98
Q9CQ52	Q867B0	9.27e-97
O19023	O19023	0.0
O19023	P08861	0.0
O19023	P09093	2.37e-173
O19023	P05805	6.08e-166
O19023	Q9CQ52	1.20e-162
O19023	P08217	1.70e-105
O19023	Q7M3E1	1.87e-105
